121,1367883947,Big Dig,Big Dig -- Underground Highway System,3,100,% intended miles of highways built by end of 2012,0,146,0,0,187/146
122,1367883915,Apply social network analysis counterinsurgency ta,High-tech gang-violence reduction -- Apply social network analysis counterinsurgency tactics to resolve gang violence in Springfield,3,100,% stages of counterinsurgency-inspired plan implemented,0,139,0,0,187/145/132/139/
130,1367883948,100% high school completion rate,100% high school completion rate,2,83,"% of MA high school students who graduated with in 4 years, 2012",0,146,0,0,187/146
131,1367883908,0% obesity rate,0% obesity rate,2,40,"% of MA adults at healthy weight, 2012",0,144,0,0,187/144
132,1367883916,0% crime rates,0% crime rates,2,90,% MA citizens not victims of a crime in 2012,0,145,0,0,187/145
133,1367883949,100% employment,100% employment,2,90,"% of MA residents looking for a job who could find one, 2012",0,146,0,0,187/146
134,1367883950,Rehabilitate homeless population,Rehabilitate homeless population -- #goal,2,30,% of 2011 MA homeless population housed by end of 2012,0,146,0,0,187/146
135,1367883986,leaders can't communicate their good ideas,Leaders can't communicate their good ideas -- #complaint,1,NULL,,0,138,0,0,187/138
136,1367883997,citizens can't communicate their good ideas,Citizens can't communicate their good ideas  -- #complaint,1,NULL,,0,138,0,0,187/138
137,1367884060,"in the digital age, no one has time for town hall","In the digital age, no one has time for town hall meetings -- #complaint",1,NULL,,0,138,0,0,187/138
138,1367884077,Make a non-partisan platform for citizens ,Citizens and government can concisely communicate ideas -- via Outline platform #idea,2,10,"% MA government departments accessible via online communication tools, 2012",0,187,0,1,187
139,1367883916,"0% gang-related crime in Springfield, MA","0% gang-related crime in Springfield, MA",3,100,"% Springfield, MA citizens not victims of a gang-related crime in 2012",0,132,0,0,187/145/132/
144,1367883909,Health,Health,2,NULL,,0,187,0,0,187
145,1367883917,Tranquility,Tranquility,2,NULL,,0,187,0,0,187
146,1367883951,Prosperity,Prosperity -- people have access to the abundance of resources there are,2,NULL,,0,187,0,0,187
187,1369634616,Utopia,"Utopia -- Turn MA into a prosperous, nurturing bastion of human flourishing",2,NULL,,0,0,0,0,
140,1367923045,Perform the following transformations on the state,"Perform the following transformations on the state budget: Income Tax (+0.95%), Capital Gains Tax (-5.75%), Sales Tax (-1.75%), Gas Tax (+0.15%) ~Deval Patrick's budget, see Proposals.",1,NULL,,0,0,1,0,140
141,1367923042,Optimize the state budget to include several impor,Optimize the state budget -- to include several important projects decided on via Outline,1,NULL,,0,0,1,0,141
148,1367923046,"Keep 2013 Baseline Budget - Income Tax (+0%), Capi","Keep 2013 Baseline Budget - Income Tax (+0%), Capital Gains Tax (+0%), Sales Tax (+0%), Gas Tax (+0%). $39.4B Revenue, $32.6B Spending, $6.84B",0,NULL,,0,0,1,0,148
37,1351665485,,&lt;b&gt;BOLD!&lt;/b&gt;,0,NULL,,0,0,3,0,37
34,1351665305,,"alert(""Hi Jacob I'm going to annoy you"");",0,NULL,,0,0,3,0,34
13,1351656482,,Testing submit from index.,0,NULL,,0,0,3,0,13
33,1351665216,,<b>i can do html!</b>,0,NULL,,0,0,3,0,33
36,1351665469,,&lt;script type=&quot;text/javascript&quot;&gt;alert(&quot;Hi Jacob! I'm so annoying&quot;)&lt;/script&gt;,0,NULL,,0,0,3,0,36
23,1351660537,,Can I submit a post?,0,NULL,,0,0,3,0,23
38,1353207401,,A capella!,0,NULL,,0,0,3,0,38
39,1353400866,,test,0,NULL,,0,0,3,0,39
40,1354063574,,aoeu,0,NULL,,0,0,3,0,40
29,1351662607,,Does it sync?,0,NULL,,0,0,3,0,29
30,1351663561,,"	Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,NULL,,0,0,3,0,30
31,1351663767,,abc,0,NULL,,0,0,3,0,31
32,1351663794,,"I'm looking at electrical engineering and computer science for a major, and potentially in English literature or linguistics for a minor.  I know I also love philosophy, biology, and psychology-- time will tell how these factor into my major.  

Tell us what activities you are presently or hope to become involved with at MIT.
Breakdancing, cross-country ski, martial arts, rock climbing, surfing*, snowboarding, hiking, yoga, debate, acting, SIPB, high-tech entrepreneurship/Web development business, juggling/yoyoing, Rubik's cubing, blogging**, gaming, MIT hacking, playing RPG's, reading science fiction and fantasy and classic literature, cooking my way to the gustatory frontier of the universe, having late-night philosophical discussions, lucid dreaming, meeting incredible people at and around MIT, eating lunch each weekend with friends going to college elsewhere in Boston, living with my best friend of 12 years as a roommate, coding late on Saturday nights with my high school programming buddy and others I'm sure to meet, forging within the smithy of my soul the uncreated conscience of my species (sorry James Joyce), and most importantly, sleeping enough on top of this. Lucid dreaming hopefully will help with this latter goal.  For the rest I'll have to rely on Pareto's law (the idea that statistically speaking, 20% of your resources produced 80% of the yield in real economic systems).
*surfing is without a doubt my favorite activity on the list, though ironically, the only one that's actually impractical to do in Boston. There's nothing like it -- Dropping into a 7 foot barreling wave is like riding a standup, liquid roller coaster that I control (or if I fall it's like being a cockroach in a trash compactor).
**whether or not I become admissions blogger :)

The dormitory or FSILG you presently or hope to live with.
I'm temped in Burton Conner, but I'm going to check out East Campus during orientation and perhaps see if I can transfer (because it's that awesome). I love to cook, I love to work on intense projects (like installing an automatic party button in my room), I would be absolutely ecstatic to live in a dorm where I can paint murals on the walls and climb on the rock wall installed in the hallway while waiting for the scrumptious Italian delicacy I ordered by pressing the emergency pizza button to arrive.",0,NULL,,0,0,3,0,32
41,1354363292,,sthsnth,0,NULL,,0,0,3,0,41
42,1354363314,,"transfer to mit
",0,NULL,,0,0,3,0,42
43,1354363599,,"meowwwwwww
",0,NULL,,0,0,3,0,43
44,1354364093,,"aoeu
aoeu
",0,NULL,,0,0,3,0,44
45,1354364169,,aoeu,0,NULL,,0,0,3,0,45
46,1354364175,,aoeuaoeu,0,NULL,,0,0,3,0,46
47,1354364184,,aoeu,0,NULL,,0,0,3,0,47
48,1354364189,,aoeu,0,NULL,,0,0,3,0,48
49,1354364415,,"aoeu
",0,NULL,,0,0,3,0,49
50,1354364439,,"uei
",0,NULL,,0,0,3,0,50
51,1354364439,,"uei

",0,NULL,,0,0,3,0,51
52,1354364439,,"ueid
",0,NULL,,0,0,3,0,52
53,1354364439,,"euid
",0,NULL,,0,0,3,0,53
54,1354364465,,"kxbm
",0,NULL,,0,0,3,0,54
55,1354364471,,"kxbm
kxbm
",0,NULL,,0,0,3,0,55
56,1354366387,,MIT-worthy high tech community ,0,NULL,,0,0,3,0,56
57,1354366405,,"Students healthy/happy
",0,NULL,,0,0,3,0,57
58,1354366446,,"aoeu
ao

eu",0,NULL,,0,0,3,0,58
59,1354690611,,"CuriosityThread -- Site that shows the chain of questions/interests a person asked/followed to gain the knowledge they have. Perhaps to partially populate this site, Wikipedia could track threads of browsing, and scrolling. Subsequently, tutorials (even a textbook!) customized to the curiosity profiles of different people could be made of it? Relatedly, creating a web database of the series of questions bright students ask could be extremely powerful. I would love, for instance, to have documentation of the series of questions one of my friends asked over the course of his life to ultimately gain the knowledge to get gold at the International Chemistry Olympiad. #edu #&lt;-&gt;admitsphere",0,NULL,,0,0,3,0,59
60,1354698834,,asdf -- #edu #intentiondb,0,NULL,,0,0,3,0,60
61,1354698891,,"a -- #edu
",0,NULL,,0,0,3,0,61
